小分类,题目,答案
inquinamento atmosferico,"L'inquinamento atmosferico è nullo nei veicoli che rispettano la normativa antinquinamento ""Euro 0""",F
iniettori e fumi di scarico,L'inquinamento dell'aria prodotto dai veicoli aumenta se gli iniettori sono difettosi,V
iniettori e fumi di scarico,Una maggiore emissione di fumo dallo scarico è sintomo di maggior inquinamento causato dal motore,V
iniettori e fumi di scarico,L'inquinamento dell'aria prodotto dai veicoli è maggiore se il fumo di scarico presenta colore scuro,V
iniettori e fumi di scarico,L'inquinamento dell'aria prodotto dai veicoli può causare danni alle vie respiratorie e irritazione agli occhi,V
iniettori e fumi di scarico,"L'inquinamento dell'aria prodotto dai veicoli fa aumentare lo smog, le piogge acide e l'effetto serra",V
iniettori e fumi di scarico,"L'inquinamento dell'aria prodotto dai veicoli è dovuto per la maggior parte ai gas di scarico, generati dalla combustione all'interno del motore",V
iniettori e fumi di scarico,L'inquinamento atmosferico prodotto dai veicoli dipende principalmente dall'umidità presente nell'aria,F
accorgimenti per ridurre inquinamento,L'inquinamento dell'aria prodotto dai veicoli a motore può diminuire se si alleggerisce il peso del veicolo,V
accorgimenti per ridurre inquinamento,"L'inquinamento dell'aria prodotto dai veicoli a motore può essere ridotto, scegliendo veicoli con alimentazione elettrica, a metano o GPL",V
accorgimenti per ridurre inquinamento,"L'inquinamento dell'aria prodotto dai veicoli a motore può diminuire se si spegne il motore, in caso di arresto prolungato",V
accorgimenti per ridurre inquinamento,"L'inquinamento dell'aria prodotto dai veicoli a motore può essere ridotto, evitando di usare il veicolo per brevi percorsi",V
accorgimenti per ridurre inquinamento,Guidando un veicolo che emette troppi gas di scarico inquinanti si può essere puniti con una sanzione amministrativa e il ritiro della carta di circolazione,V
accorgimenti per ridurre inquinamento,L'inquinamento dell'aria prodotto dai veicoli a motore può diminuire se si sistemano i bagagli sul tetto dell'autovettura,F
accorgimenti per ridurre inquinamento,L'inquinamento dell'aria prodotto dai veicoli a motore può diminuire se si circola sempre con marce basse,F
accorgimenti per ridurre inquinamento,L'inquinamento dell'aria prodotto dai veicoli a motore può diminuire se si accelera tenendo premuto il pedale della frizione,F
accorgimenti per ridurre inquinamento,L'inquinamento dell'aria prodotto dai veicoli a motore può diminuire se si accelera con il cambio in folle,F
sostituzione filtri,"Per diminuire l'inquinamento atmosferico provocato dai veicoli, bisogna far sostituire periodicamente il filtro dell'aria",V
sostituzione filtri,"Per diminuire l'inquinamento dell'aria provocato dai veicoli con motore diesel, bisogna far controllare periodicamente il sistema di alimentazione (pompa di iniezione ed iniettori)",V
sostituzione filtri,"Per diminuire l'inquinamento dell'aria provocato dai veicoli, bisogna far controllare il motore, se il fumo dello scarico risulta troppo scuro",V
sostituzione filtri,Per diminuire l'inquinamento dell'aria non bisogna accelerare e frenare spesso durante la marcia del veicolo,V
sostituzione filtri,"Per diminuire l'inquinamento dell'aria provocato dai veicoli, bisogna dare un breve colpo di acceleratore, prima di abbassare la frizione per cambiare marcia",F
sostituzione filtri,"Per diminuire l'inquinamento atmosferico provocato dai veicoli, bisogna utilizzare il motore al massimo numero di giri",F
sostituzione filtri,"Per diminuire l'inquinamento dell'aria provocato dai gas di scarico del veicolo, bisogna sostituire periodicamente il filtro antipolline",F
sostituzione filtri,"Per diminuire l'inquinamento dell'aria provocato dai veicoli, bisogna sostituire il filtro dell'olio ad ogni cambio di stagione",F
salvaguardare l'ambiente,"Per risparmiare carburante e salvaguardare l'ambiente dall'inquinamento atmosferico, è consigliabile azionare il climatizzatore il meno possibile e soltanto quando serve effettivamente",V
salvaguardare l'ambiente,"Per salvaguardare l'ambiente dall'inquinamento atmosferico, bisogna premere più volte il pedale dell'acceleratore quando il veicolo è freddo",F
salvaguardare l'ambiente,"Per salvaguardare l'ambiente dall'inquinamento atmosferico, bisogna premere diverse volte e a fondo il pedale dell'acceleratore, affinché il veicolo raggiunga in fretta la temperatura di esercizio",F
salvaguardare l'ambiente,"Per salvaguardare l'ambiente dall'inquinamento atmosferico e acustico, quando si cambia marcia bisogna premere a fondo il pedale dell'acceleratore",F
aumento e limitazione dei consumi,"Per limitare i consumi di carburante, conviene chiudere i finestrini se si viaggia a velocità medio alte, perché le turbolenze all'interno dell'abitacolo possono frenare la marcia del veicolo",V
aumento e limitazione dei consumi,"Per limitare i consumi di carburante non conviene fare uso del portapacchi, ma sistemare i bagagli all'interno del veicolo",V
aumento e limitazione dei consumi,"Viaggiare con uno spesso strato di neve sul tetto del veicolo, comporta un aumento dei consumi di carburante",V
aumento e limitazione dei consumi,Viaggiare a forte velocità con il tettuccio del veicolo aperto comporta un aumento dei consumi di carburante,V
aumento e limitazione dei consumi,"In caso di arresto prolungato in galleria, per la formazione di una fila di veicoli, è dannoso per la salute azionare il comando del ricircolo dell'aria all'interno del veicolo",F
aumento e limitazione dei consumi,"I veicoli che rispettano la normativa antinquinamento ""Euro 4"" emettono una quantità di gas inquinanti maggiore di quelli omologati secondo la normativa ""Euro 0""",F
aumento e limitazione dei consumi,Trainare un rimorchio non comporta un aumento dei consumi di carburante,F
veicoli modificati,"Guidando un veicolo a cui sono stati modificati il motore e la marmitta, si può incorrere in pesanti sanzioni amministrative",V
veicoli modificati,E' consentito modificare liberamente il motore e la marmitta di un veicolo per diminuire l'inquinamento atmosferico,F
scarico e smaltimento,"E' vietato scaricare nella fognatura il liquido antigelo del circuito di raffreddamento del veicolo, poiché potrebbe non essere biodegradabile",V
scarico e smaltimento,"L'abbandono di una batteria per auto, sulla strada o sul terreno, può arrecare gravi danni all'ambiente e alle falde acquifere sottostanti",V
scarico e smaltimento,"Se si acquista una batteria per auto si può consegnare quella esausta (usata) al rivenditore, che provvederà a ritirarla, senza ulteriori costi aggiuntivi",V
scarico e smaltimento,"Il proprietario di un veicolo che intende demolirlo o rottamarlo, deve consegnarlo ad un centro di raccolta per la messa in sicurezza (autodemolitore autorizzato)",V
scarico e smaltimento,"Al momento dello smaltimento dell'olio del motore, bisogna evitare che venga a contatto con la pelle per un tempo prolungato",V
scarico e smaltimento,Lo scarico dei residui organici e delle acque sporche delle autocaravan deve avvenire negli appositi impianti di smaltimento igienico-sanitari,V
scarico e smaltimento,"L'abbandono sul terreno di rifiuti pericolosi o tossici (olii, liquidi, residui di riparazioni o di sostituzioni) non viene sanzionato",F
scarico e smaltimento,"Per demolire o rottamare un veicolo, lo si deve consegnare esclusivamente al concessionario della casa costruttrice",F
divieti generici,E' vietato danneggiare le opere e gli impianti stradali,V
divieti generici,E' vietato gettare oggetti e rifiuti dai veicoli in movimento,V
divieti generici,E' vietato sporcare la carreggiata depositando rifiuti,V
divieti generici,E' vietato immettersi sulle strade con le ruote del veicolo sporche di fango,V
divieti generici,Su tutte le strade è vietato esercitarsi alla guida,F
divieti generici,"Su tutte le strade sono vietati gli avvisatori acustici (clacson, trombe)",F
divieti generici,Su tutte le strade è vietato il transito dei veicoli che superano 10 m di lunghezza,F
divieti generici,E' vietato parcheggiare nelle zone residenziali,F
la forza aderente,La forza aderente consente il movimento del veicolo,V
la forza aderente,La forza aderente si oppone allo slittamento verso l'esterno della curva,V
la forza aderente,La forza aderente consente al veicolo di percorrere la traiettoria voluta,V
la forza aderente,La forza aderente si oppone allo slittamento dello pneumatico sull'asfalto,V
la forza aderente,La forza aderente non si oppone allo slittamento causato dal vento laterale,F
la forza aderente,"La forza aderente, se eccessiva, comporta il surriscaldamento dei freni",F
aumento della forza aderente,La forza aderente aumenta se l'asfalto è rugoso,V
aumento della forza aderente,La forza aderente diminuisce se l'asfalto è bagnato,V
aumento della forza aderente,La forza aderente aumenta se l'asfalto è bagnato,F
aumento della forza aderente,La forza aderente aumenta se l'asfalto è coperto di foglie,F
aumento della forza aderente,La forza aderente aumenta se l'asfalto è coperto di ghiaccio,F
aumento della forza aderente,La forza aderente aumenta se l'asfalto è coperto dal fango,F
coefficiente di aderenza,Se il coefficiente di aderenza diminuisce le ruote motrici potrebbero pattinare,V
coefficiente di aderenza,Se il coefficiente di aderenza diminuisce lo spazio di frenatura aumenta,V
coefficiente di aderenza,Se il coefficiente di aderenza è basso bisogna ridurre la velocità,V
coefficiente di aderenza,Se il coefficiente di aderenza diminuisce lo spazio di frenatura si riduce,F
coefficiente di aderenza,Se il coefficiente di aderenza è basso bisogna ridurre la velocità solo in curva,F
coefficiente basso di aderenza,Il coefficiente di aderenza basso limita la velocità alla quale è possibile percorrere una curva in sicurezza,V
coefficiente basso di aderenza,Il coefficiente di aderenza basso favorisce lo slittamento in curva,V
